index,URI,Beeldbank,Beeldbank_scans_index,Beeldbank_scans_aantal,Beeldbank_iiif_manifest,Beeldbank_iiif_canvas,Beeldbank_iiif_info,Titel,Opmerkingen
A1,https://pid.uba.uva.nl/ark:/88238/b1990037778300205131,https://hdl.handle.net/11245/3.40099,0,1,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_40099/manifest/,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_40099/pages/1/canvas/,https://images.uba.uva.nl/iiif/2/default!1!3!1!990037778300205131!HB-KZL-1809-A-3.jpg,Amstelodamum celebre emporium forma plana. ,
A2,https://pid.uba.uva.nl/ark:/88238/b1990009296490205131,https://hdl.handle.net/11245/3.2514,0,1,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_2514/manifest/,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_2514/pages/1/canvas/,https://images.uba.uva.nl/iiif/2/erfgoed!kaarten!9!4!6!990009296490205131!100-12-02.jpg,Amsteldam ,
A3,https://pid.uba.uva.nl/ark:/88238/b1990009297720205131,https://hdl.handle.net/11245/3.3163,0,1,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_3163/manifest/,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_3163/pages/1/canvas/,https://images.uba.uva.nl/iiif/2/erfgoed!kaarten!2!7!7!990009297720205131!102-16-13.jpg,A new map of the city of Amsterdam : most humbly inscrib'd to Iohn Hedworth Esqr. ,
A4,https://pid.uba.uva.nl/ark:/88238/b1990016218050205131,https://hdl.handle.net/11245/3.321,0,1,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_321/manifest/,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_321/pages/1/canvas/,https://images.uba.uva.nl/iiif/2/erfgoed!kaarten!5!0!8!990016218050205131!WX012.jpg,Amsterdam ,
A5,https://pid.uba.uva.nl/ark:/88238/b1990009329240205131,https://hdl.handle.net/11245/3.881,0,1,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_881/manifest/,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_881/pages/1/canvas/,https://images.uba.uva.nl/iiif/2/erfgoed!kaarten!4!2!9!990009329240205131!101-04-VIE25-26.jpg,Amsterdam ,
A6,https://pid.uba.uva.nl/ark:/88238/b1990009339970205131,https://hdl.handle.net/11245/3.2714,0,1,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_2714/manifest/,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_2714/pages/1/canvas/,https://images.uba.uva.nl/iiif/2/erfgoed!kaarten!7!9!9!990009339970205131!101-04-VI-E-25-33.jpg,Nieuwe kaart van Amsterdam : waarop zijn gebragt alle de voorgevallen veranderingen : benevens de uitgevoerd wordende kapitale werken van afsluiting der haven door een dijk met sluizen voorzien ... ,
A7,https://pid.uba.uva.nl/ark:/88238/b1990009349710205131,https://hdl.handle.net/11245/3.1468,0,1,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_1468/manifest/,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_1468/pages/1/canvas/,https://images.uba.uva.nl/iiif/2/erfgoed!kaarten!1!7!9!990009349710205131!101-04-VI-E-25-38.jpg,"Omnibus kaart, of Nieuwe platte grond der stad Amsterdam : waarop alle de omnibus liniën zijn aangetekend = Carte des omnibus, ou Nouveau plan de la ville d'Amsterdam. ",
A8,https://pid.uba.uva.nl/ark:/88238/b1990011488790205131,https://hdl.handle.net/11245/3.40100,0,1,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_40100/manifest/,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_40100/pages/1/canvas/,https://images.uba.uva.nl/iiif/2/default!1!3!1!990011488790205131!HB-KZL-109-12-57.jpg,Plan tot uitbreiding van Amsterdam. ,
A9,https://pid.uba.uva.nl/ark:/88238/b1990009373460205131,https://hdl.handle.net/11245/3.1005,0,1,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_1005/manifest/,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_1005/pages/1/canvas/,https://images.uba.uva.nl/iiif/2/erfgoed!kaarten!6!4!3!990009373460205131!101-05-VI-E-25-62.jpg,Amsterdam in 1882 ,
A10,https://pid.uba.uva.nl/ark:/88238/b1990009382110205131,https://hdl.handle.net/11245/3.1246,0,1,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_1246/manifest/,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_1246/pages/1/canvas/,https://images.uba.uva.nl/iiif/2/erfgoed!kaarten!1!1!2!990009382110205131!101-05-VI-E-25-69.jpg,Kaart van Amsterdam en omstreken ,
A11,https://pid.uba.uva.nl/ark:/88238/b19941413329105131,https://hdl.handle.net/11245/3.40073 ,0,2,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_40073/manifest/,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_40073/pages/1/canvas/,https://images.uba.uva.nl/iiif/2/default!1!3!1!9941413329105131!HB-KZL_101_09_11_0001.jpg,Plattegrond der stad Amsterdam ,Voor en achterkant
A12,https://pid.uba.uva.nl/ark:/88238/b1990009413700205131,https://hdl.handle.net/11245/3.40101,0,1,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_40101/manifest/,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_40101/pages/1/canvas/,https://images.uba.uva.nl/iiif/2/default!1!3!1!990009413700205131!HB-KZL-25-02-04.jpg,Kaart van Amsterdam 1:10.000 ,
A13,https://pid.uba.uva.nl/ark:/88238/b19941298426805131,https://hdl.handle.net/11245/3.39844,0,1,https://amsterdamtimemachine.github.io/berckenrode-iiif/manifest.json,https://amsterdamtimemachine.github.io/berckenrode-iiif/manifest.json/canvas/0,https://amsterdamtimemachine.github.io/berckenrode-iiif/KZL_W_X_020/info.json,Amstelredamum emporium Hollandiæ primarium totiusque Europæ celeberrimum,Berckenrodekaart
VOC1,https://pid.uba.uva.nl/ark:/88238/b1990016825380205131,https://hdl.handle.net/11245/3.40093,0,1,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_40093/manifest/,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_40093/pages/1/canvas/,https://images.uba.uva.nl/iiif/2/default!1!3!1!990016825380205131!HB-KZL-I-1-A-6-2.jpg,Asiae in tabula geographica delineatio ,
VOC2,https://pid.uba.uva.nl/ark:/88238/b1990016001050205131,https://hdl.handle.net/11245/3.40094,0,1,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_40094/manifest/,https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_40094/pages/1/canvas/,https://images.uba.uva.nl/iiif/2/default!1!3!1!990016001050205131!HB-KZL-I-1-A-6-18.jpg,Carte des Indes et de la Chine ,
